node,community,delta
189,3,-0.0001132018857888444
187,0,-0.0009190720173121599
186,0,-0.0009847200185487427
186,3,-0.0009792645059806056
185,0,-0.0007877760148389942
177,0,-0.0007232191161160386
176,0,0.0003103277399175309
210,0,-0.00006564800123658285
210,1,-0.00011629334291078873
210,2,-0.00013656966462236486
168,0,-0.0009847200185487427
167,0,-0.0008371484035806347
166,0,-0.00045953600865607995
166,1,-0.0008140534003755212
166,3,-0.0007554975654775164
165,0,-0.0006239287873759439
164,0,-0.00045953600865607995
164,1,-0.0008140534003755212
164,3,-0.0007554975654775164
159,0,0.00004828128622801314
200,0,-0.00011502038997822343
200,2,-0.0006828483231118244
200,3,-0.000539641118198226
151,0,-0.0007877760148389942
151,3,-0.0004422602188569792
150,0,-0.0005251840098926628
150,1,-0.0009303467432863099
150,3,-0.0008634257891171617
149,0,-0.0007877760148389942
147,0,-0.0008865207923222753
146,0,-0.0008208727910856924
145,0,-0.0009847200185487427
145,3,-0.0005528252735712241
138,0,-0.0009684444060538004
137,1,-0.0006395679234046035
137,3,-0.0007607712276267156
136,1,-0.0008527875396092943
136,3,-0.0007607712276267156
135,0,-0.000558280786139361
135,3,-0.000766044889775915
123,0,-0.0005089083973977205
123,3,-0.000334331995217334
122,0,-0.0004269847836661954
122,1,-0.0004457153768167993
107,0,-0.0007715004023440519
97,0,-0.000705852401107469
41,0,-0.0002463163924513891
41,1,-0.0006008337841708303
41,2,-0.0005295484199471724
31,0,-0.0005908320111292456
31,3,-0.0009713540127568069
30,0,-0.00045953600865607995
30,2,-0.0007427680361518633
30,3,-0.0007554975654775164
29,0,-0.0005908320111292456
29,3,-0.0007581343965521161
28,0,-0.0005251840098926628
28,2,-0.000879337700774228
28,3,-0.0006502061729124709
26,0,-0.0009190720173121599
25,0,-0.0006564800123658285
24,0,-0.00031196439368797195
24,2,-0.000879337700774228
24,3,-0.0006502061729124709
9,0,-0.0006564800123658285
9,3,-0.0008660626201917612
8,0,-0.0006564800123658285
8,3,-0.0008660626201917612
7,0,-0.0009027964048172176
6,0,-0.0009190720173121599
5,0,-0.0005251840098926628
5,2,-0.000879337700774228
5,3,-0.0006502061729124709
4,0,-0.0005251840098926628
4,2,-0.000879337700774228
4,3,-0.0006502061729124709
102,0,-0.0005908320111292456
102,3,-0.0007581343965521161
96,0,-0.0005745563986343033
95,3,-0.0007845027072981119
94,0,-0.00036188233368642615
93,0,-0.0009521687935588581
92,0,-0.0008208727910856924
88,0,0.000457899354885639
35,0,-0.0005908320111292456
35,2,-0.0008026877491919022
35,3,-0.0009713540127568069
34,0,-0.00031196439368797195
34,2,-0.000879337700774228
34,3,-0.0008634257891171617
27,0,-0.0004269847836661954
16,0,-0.0008371484035806347
134,0,-0.00036133678242961255
134,3,-0.0008686994512663608
125,0,-0.0003776123949245548
125,3,-0.0007581343965521161
106,0,-0.0007715004023440519
103,0,-0.0005251840098926628
103,2,-0.0006661180845695372
103,3,-0.0006502061729124709
160,0,-0.0007389491773541673
124,0,-0.0002463163924513891
124,2,-0.0007427680361518633
124,3,-0.0005422779492728256
115,0,-0.0008045971785907501
115,1,-0.0008526966143998255
199,0,-0.00009929032874009475
198,0,-0.0006407499511277
192,0,-0.0005913775623860594
143,0,-0.0009521687935588581
143,1,-0.0005231836552843459
43,1,0.00015520933256349964
157,3,-0.0008792467755647591
91,0,0.0000976536749696538
89,0,-0.00023113188247007432
1,1,-0.00098844795213697
144,0,-0.00039443355867631086
52,1,-0.000717127127081619
52,3,-0.0008634257891171617
