node,community,delta
18,0,-0.0005411868467591983
18,2,-0.0006699369433672333
18,3,-0.0005244566082169112
18,4,-0.0006888493869367751
18,5,-0.000033460477084574085
10,0,-0.00011474761434981663
10,2,-0.0006699369433672333
10,3,-0.0005244566082169112
10,4,-0.0006888493869367751
10,5,-0.000033460477084574085
2,0,-0.0010147253376734968
2,2,-0.0012561317688135625
2,3,-0.0009833561404067085
2,4,-0.0008651533680970717
2,5,-0.0000627383945335764
84,1,-0.00076559026372857
84,2,-0.0008374211792090416
84,3,-0.0004423511440664481
84,4,-0.00043462250126158726
84,5,-0.0000418255963557176
22,0,-0.0005882861052641151
22,2,-0.0010429121526088717
22,3,-0.0009833561404067085
22,4,-0.0010783729843017627
22,5,-0.0000627383945335764
58,1,-0.000715217697682771
58,2,-0.000502452707525425
58,3,-0.0003933424561626834
58,4,-0.0005166370402025814
58,5,-0.000025095357813430563
46,0,-0.000006001063824950586
46,1,-0.0014119775778433448
46,2,-0.001591100240497179
46,3,-0.0008191452121057824
46,5,-0.00007946863307586345
82,1,-0.0008344206472965662
82,2,-0.0005861948254463291
82,3,-0.0004588995321897973
82,4,-0.0006027432135696783
82,5,-0.000029277917449002322
62,1,-0.0009536235969103614
62,2,-0.0006699369433672333
62,3,-0.0005244566082169112
62,4,-0.0006888493869367751
62,5,-0.000033460477084574085
49,1,-0.0004768117984551807
49,2,-0.00033496847168361664
49,3,-0.0002622283041084556
49,4,-0.00034442469346838755
49,5,-0.000016730238542287042
113,1,-0.0008847932133423653
113,2,-0.0009211632971299458
113,3,-0.0007211278362982529
113,4,-0.0009471679070380658
113,5,-0.00004600815599128937
87,1,-0.001430435395365542
87,2,-0.00100490541505085
87,3,-0.0007866849123253668
87,4,-0.0010332740804051628
87,5,-0.00005019071562686113
86,1,-0.0012172157791608513
86,2,-0.00100490541505085
86,3,-0.0007866849123253668
86,4,-0.000820054464200472
86,5,-0.00005019071562686113
63,1,-0.0005960147480689759
63,2,-0.0004187105896045208
63,3,-0.0003277853801355695
63,4,-0.00043053086683548445
63,5,-0.0000209127981778588
57,1,-0.0017880442442069276
57,2,-0.0012561317688135625
57,3,-0.0009833561404067085
57,4,-0.0010783729843017627
57,5,-0.0000627383945335764
67,0,0.0002337687135446739
67,1,-0.000715217697682771
67,2,-0.000502452707525425
67,4,-0.0005166370402025814
67,5,-0.000025095357813430563
65,0,-0.00012502216301980804
65,1,-0.0005960147480689759
65,2,-0.0004187105896045208
65,4,-0.00043053086683548445
65,5,-0.0000209127981778588
219,1,-0.0021960256590941125
219,2,-0.0016291069780552008
219,3,0.0013295993380644752
219,4,-0.0018943358140761316
219,5,-0.00009201631198257874
172,0,-0.00045298939357431544
172,1,-0.000696759880160574
172,2,-0.0006622083005623724
172,4,-0.0009061606375675688
172,5,-0.000054373275262432886
126,0,0.00004109819467996599
126,2,-0.00100490541505085
126,3,-0.0005734652961206759
126,4,-0.0006068348479957811
126,5,-0.00005019071562686113
212,1,-0.0001443892326366947
212,2,-0.0002512263537627125
212,3,-0.0001966712280813417
212,4,-0.0002583185201012907
212,5,-0.000012547678906715282
111,0,-0.000026550161164933797
111,1,-0.0013364187287746466
111,2,-0.001088647532971754
111,4,-0.0009061606375675688
111,5,-0.000054373275262432886
53,1,-0.0010728265465241565
53,2,-0.0005404594450834466
53,3,-0.0005900136842440251
53,4,-0.000774955560303872
53,5,-0.000037643036720145843
38,0,-0.00012502216301980804
38,1,-0.000382795131864285
38,2,-0.0004187105896045208
38,3,-0.0003277853801355695
38,5,-0.0000209127981778588
59,1,-0.0005019980814780802
59,2,-0.000502452707525425
59,3,-0.00018012283995799257
59,4,-0.0005166370402025814
59,5,-0.000025095357813430563
23,0,-0.000733857365623906
23,2,-0.0009591700346879673
23,3,-0.0007045794481749038
23,4,-0.0012054864271393566
23,5,-0.000058555834898004645
19,0,-0.000608835202604098
19,2,-0.0007536790612881375
19,3,-0.0005900136842440251
19,4,-0.000774955560303872
19,5,-0.000037643036720145843
13,0,-0.0007441319142938975
13,2,-0.0009211632971299458
13,3,-0.0007211278362982529
13,4,-0.000733948290833375
13,5,-0.00004600815599128937
11,0,-0.000608835202604098
11,2,-0.0007536790612881375
11,3,-0.0005900136842440251
11,4,-0.000774955560303872
11,5,-0.000037643036720145843
21,0,-0.0005309122980892067
21,2,-0.0009211632971299458
21,3,-0.0007211278362982529
21,4,-0.0009471679070380658
21,5,0.00016721146021340147
15,0,-0.0005309122980892067
15,2,-0.0009211632971299458
15,3,-0.0007211278362982529
15,4,-0.0009471679070380658
15,5,-0.00004600815599128937
117,0,-0.0006722100736039573
117,2,-0.002679747773468933
117,3,-0.0018846068166629539
117,4,-0.0025421779315424097
117,5,-0.00013384190833829634
37,0,-0.0008794286259836971
37,2,-0.001088647532971754
37,3,-0.0008522419883524807
37,4,-0.0006929410213628779
37,5,-0.000054373275262432886
40,0,-0.0015559121844326948
40,2,-0.0019260687121807956
40,3,-0.0012945931324189288
40,4,-0.001554002755033847
40,5,-0.00009619887161815049
69,1,-0.0005523706475238792
69,2,-0.0006242015630043507
69,3,-0.000655570760271139
69,4,-0.00043462250126158726
69,5,-0.0000418255963557176
68,1,-0.0006715735971376744
68,2,-0.0007079436809252549
68,3,-0.0007211278362982529
68,4,-0.00030750905842399326
68,5,-0.00004600815599128937
211,0,-0.00040589013506939865
211,1,-0.000715217697682771
211,3,-0.00018012283995799257
211,4,-0.00009019780779319977
211,5,-0.000025095357813430563
205,0,-0.00026031887470960764
205,1,-0.0008344206472965662
205,2,-0.00037297520924163823
205,4,-0.00017630398116029667
205,5,-0.000029277917449002322
207,0,-0.0006764835584489977
207,1,-0.0011920294961379517
207,2,-0.00019776233059496902
207,3,-0.00022913152786175733
207,5,-0.0000418255963557176
206,0,-0.000608835202604098
206,1,-0.0010728265465241565
206,2,-0.00032723982887875584
206,3,-0.00016357445183464342
206,5,-0.000037643036720145843
204,0,-0.0005309122980892067
204,1,-0.001311232445751747
204,2,-0.0004947240647205642
204,4,-0.00030750905842399326
204,5,-0.00004600815599128937
54,1,-0.00153118052745714
54,2,-0.0014616227422133924
54,3,-0.0010979219043375872
54,4,-0.001508903851137247
54,5,-0.0000836511927114352
79,0,0.00007192184068994059
79,1,-0.002290042325685008
79,2,-0.0013321452439296058
79,4,-0.0013817904082996531
79,5,-0.00008783375234700697
202,0,-0.0008117802701387973
202,1,-0.001430435395365542
202,2,-0.0003652465664367774
202,3,-0.00014702606371129424
202,5,-0.00005019071562686113
182,0,-0.000608835202604098
182,1,-0.0008596069303194656
182,3,-0.0005900136842440251
182,4,-0.000774955560303872
182,5,0.00017557657948454497
181,0,-0.00033824177922449887
181,1,-0.0005960147480689759
181,3,-0.0003277853801355695
181,4,-0.00021731125063079363
181,5,0.00019230681802683203
180,0,-0.00033824177922449887
180,1,-0.0005960147480689759
180,3,-0.0003277853801355695
180,4,-0.00021731125063079363
180,5,0.00019230681802683203
179,0,-0.0008117802701387973
179,1,-0.0012172157791608513
179,3,-0.0005734652961206759
179,4,-0.000820054464200472
179,5,0.0001630289005778297
178,0,-0.0007441319142938975
178,1,-0.0010980128295470563
178,3,-0.000507908220093562
178,4,-0.000733948290833375
178,5,0.00016721146021340147
175,0,-0.00006764835584489978
175,1,-0.00011920294961379518
175,2,-0.00008374211792090416
175,3,-0.0000655570760271139
175,4,-0.00008610617336709689
174,0,-0.00006764835584489978
174,1,-0.00011920294961379518
174,2,-0.00008374211792090416
174,3,-0.0000655570760271139
174,4,-0.00008610617336709689
163,0,-0.00040589013506939865
163,1,-0.000715217697682771
163,2,-0.000502452707525425
163,3,0.00003309677624669825
163,5,0.00018812425839126026
162,0,-0.00026031887470960764
162,1,-0.0008344206472965662
162,2,-0.0005861948254463291
162,3,-0.00003246029978041566
162,5,0.0001839416987556885
148,0,-0.0014103409240729039
148,1,-0.002860870790731084
148,2,-0.0011569323652829365
148,4,-0.0005740108473774898
148,5,0.00011283818495096857
133,0,-0.00033824177922449887
133,2,-0.00020549097339982996
133,3,-0.0003277853801355695
133,4,-0.00043053086683548445
133,5,0.00019230681802683203
132,0,-0.00047353849091429843
132,2,-0.00015975559303694743
132,3,-0.0004588995321897973
132,4,-0.0006027432135696783
132,5,0.0001839416987556885
131,0,-0.00019267051886470783
131,1,-0.00007555884906869847
131,2,-0.00028923309132073414
131,3,-0.0003933424561626834
131,4,-0.0005166370402025814
130,0,-0.00040589013506939865
130,2,-0.000502452707525425
130,3,-0.0003933424561626834
130,4,-0.0005166370402025814
130,5,0.00018812425839126026
129,0,-0.00027059342337959914
129,2,-0.00033496847168361664
129,3,-0.0002622283041084556
129,4,-0.00034442469346838755
129,5,0.0001964893776624038
128,0,-0.00040589013506939865
128,2,-0.000502452707525425
128,3,-0.0003933424561626834
128,4,-0.0005166370402025814
128,5,0.00018812425839126026
105,0,-0.00020294506753469933
105,1,0.00006883038356799613
105,2,-0.0002512263537627125
105,3,-0.0001966712280813417
105,4,-0.0002583185201012907
104,0,-0.00013529671168979957
104,1,-0.000025186283022899536
104,2,-0.00016748423584180832
104,3,-0.0001311141520542278
104,4,-0.00017221234673419378
74,0,-0.002248671355376635
74,1,-0.005627724914871272
74,2,-0.001971167616077396
74,3,-0.0019329790281004359
74,5,-0.00020494542214301626
161,0,-0.0005985606539341065
161,1,-0.001430435395365542
161,2,-0.0007916857988461591
161,3,-0.00036024567991598514
161,5,-0.00005019071562686113
70,0,-0.003929605702829138
70,1,-0.00683321134201063
70,2,-0.002183750755815804
70,3,-0.0035553575406549343
70,5,-0.00032205709193902556
221,0,-0.0016235605402775946
221,1,-0.0011551138610935575
221,3,-0.0011469305922413519
221,4,-0.0012136696959915622
221,5,-0.00010038143125372225
216,0,-0.0035177145039347883
216,1,-0.0055588945313032765
216,3,-0.0010635521751583238
216,4,-0.001279226772018676
216,5,-0.00021749310104973154
215,0,-0.003236846531885198
215,1,-0.005439691581689481
215,3,-0.0014244343315405915
215,4,-0.0011931205986515795
215,5,-0.0002133105414141598
191,0,-0.0006456599124390231
191,1,-0.0020516364264574175
191,2,-0.0011646610080877974
191,4,-0.00035669959674669593
191,5,0.00013375098312882737
184,0,-0.0003956155863994071
184,1,-0.0006463873141147748
184,2,-0.0005404594450834466
184,3,-0.0003767940680393342
184,5,-0.000037643036720145843
171,0,-0.0009470769818285969
171,1,-0.0014556216783884416
171,3,-0.00027814021576552206
171,4,-0.00035260796232059334
171,5,-0.000058555834898004645
156,0,-0.0006456599124390231
156,1,-0.0018384168102527265
156,2,-0.0011646610080877974
156,4,-0.0012095780615654593
156,5,-0.00007946863307586345
155,1,-0.0005775569305467787
155,2,-0.00100490541505085
155,3,-0.00014702606371129424
155,4,-0.0006068348479957811
155,5,-0.00005019071562686113
154,0,-0.0006559344611090148
154,1,-0.0019072471938207229
154,2,-0.0009134346543250849
154,3,-0.0010489132164338223
154,5,0.00014629866203554265
153,0,-0.0005206377494192153
153,1,-0.0012424020621837506
153,2,-0.0007459504184832765
153,3,-0.0009177990643795946
153,5,-0.000058555834898004645
141,0,-0.0003074181332145243
141,2,-0.0011723896508926582
141,3,-0.0007045794481749038
141,4,-0.00035260796232059334
141,5,-0.000058555834898004645
140,1,-0.000960352062411064
140,2,-0.0014236160046553707
140,3,-0.0006880310600515546
140,4,-0.0003977068662171931
140,5,-0.00007110351380471992
110,1,-0.0018132305272298274
110,2,-0.0014236160046553707
110,3,-0.00004837221143748219
110,4,-0.0006109264824218839
110,5,-0.00007110351380471992
90,1,-0.0005154550124794851
90,2,-0.0020098108301017
90,3,-0.0013601502084460428
90,4,-0.0010004500797868715
90,5,-0.00010038143125372225
85,1,-0.000978809879933261
85,2,-0.0008374211792090416
85,3,-0.0004423511440664481
85,4,-0.0006478421174662781
85,5,-0.0000418255963557176
81,0,-0.0009633525943235394
81,1,-0.0033628688722091645
81,2,-0.0016593850728083615
81,4,-0.0006642086551706893
81,5,-0.0001254767890671528
80,0,-0.0015353630870927118
80,1,-0.0026040070739812965
80,2,-0.0015756429548874572
80,4,-0.0007913220980082832
80,5,-0.00012129422943158105
78,0,-0.00028686903587454133
78,1,-0.001957619759866522
78,2,-0.0016748423584180831
78,4,-0.0012956842349325561
78,5,-0.0000836511927114352
75,0,-0.002306045162551543
75,1,-0.006104536713326453
75,2,-0.002519355703965703
75,3,-0.0013423288673901283
75,5,-0.0002216756606853033
61,1,-0.0013867912948204455
61,2,-0.0014236160046553707
61,3,-0.0004748114438468638
61,4,-0.0003977068662171931
61,5,-0.00007110351380471992
51,1,-0.0020147207914130234
51,2,-0.0027634898913898374
51,3,-0.001310505044075995
51,4,-0.0013489664076813616
51,5,-0.0001380244679738681
47,1,-0.0012675883452066502
47,2,-0.0011266542705297758
47,3,-0.0006224739840244406
47,4,-0.0003116006928500961
47,5,-0.00006692095416914817
36,0,-0.0005309122980892067
36,2,-0.0009211632971299458
36,3,-0.0007211278362982529
36,4,-0.0005207286746286841
36,5,-0.00004600815599128937
33,0,-0.0005985606539341065
33,2,-0.00100490541505085
33,3,-0.0007866849123253668
33,4,-0.000820054464200472
33,5,0.0001630289005778297
72,0,-0.0020928255463468527
72,1,-0.00525165824850769
72,2,-0.0023061360877610123
72,3,-0.0009158896349807464
72,5,-0.000008456044480612473
274,0,-0.0007441319142938975
274,1,-0.001311232445751747
274,3,-0.00029468860388887124
274,4,-0.0009471679070380658
274,5,-0.00004600815599128937
273,0,-0.0005411868467591983
273,1,-0.0009536235969103614
273,3,-0.0005244566082169112
273,4,-0.0006888493869367751
273,5,-0.000033460477084574085
272,0,-0.0008691540773137057
272,1,-0.0019072471938207229
272,3,-0.00019603475161505902
272,4,-0.0013776987738735502
272,5,-0.00006692095416914817
271,0,-0.0004632639422443069
271,1,-0.0011920294961379517
271,2,-0.00041098194679965993
271,4,-0.0008610617336709689
271,5,-0.0000418255963557176
270,0,-0.0005411868467591983
270,1,-0.0009536235969103614
270,2,-0.00024349771095785164
270,4,-0.0006888493869367751
270,5,-0.000033460477084574085
269,0,-0.001488263828587795
269,1,-0.002622464891503494
269,2,-0.0005630088970317465
269,4,-0.00146789658166675
269,5,-0.00009201631198257874
268,0,-0.0005309122980892067
268,1,-0.001311232445751747
268,2,-0.0007079436809252549
268,4,-0.000733948290833375
268,5,-0.00004600815599128937
267,0,-0.00040589013506939865
267,1,-0.000715217697682771
267,2,-0.00028923309132073414
267,4,-0.0005166370402025814
267,5,-0.000025095357813430563
266,0,-0.00013529671168979957
266,1,-0.00023840589922759036
266,3,-0.0001311141520542278
266,4,-0.00017221234673419378
266,5,-0.000008365119271143521
265,0,-0.00033824177922449887
265,1,-0.0005960147480689759
265,3,-0.0003277853801355695
265,4,-0.00043053086683548445
265,5,-0.0000209127981778588
264,0,-0.00027059342337959914
264,1,-0.0004768117984551807
264,3,-0.0002622283041084556
264,4,-0.00034442469346838755
264,5,-0.000016730238542287042
263,0,-0.00033824177922449887
263,1,-0.0005960147480689759
263,3,-0.0003277853801355695
263,4,-0.00043053086683548445
263,5,-0.0000209127981778588
262,0,-0.00027059342337959914
262,1,-0.0004768117984551807
262,3,-0.0002622283041084556
262,4,-0.00034442469346838755
262,5,-0.000016730238542287042
261,0,-0.00033824177922449887
261,1,-0.0005960147480689759
261,3,-0.00011456576393087866
261,4,-0.00043053086683548445
261,5,-0.0000209127981778588
260,0,-0.00027059342337959914
260,1,-0.0004768117984551807
260,3,-0.000049008687903764756
260,4,-0.00034442469346838755
260,5,-0.000016730238542287042
259,0,-0.00040589013506939865
259,1,-0.000715217697682771
259,3,-0.0003933424561626834
259,4,-0.0005166370402025814
259,5,-0.000025095357813430563
258,0,-0.00020294506753469933
258,1,-0.0003576088488413855
258,3,-0.0001966712280813417
258,4,-0.0002583185201012907
258,5,-0.000012547678906715282
257,0,-0.0005411868467591983
257,1,-0.0009536235969103614
257,3,-0.0005244566082169112
257,4,-0.0006888493869367751
257,5,-0.000033460477084574085
256,0,-0.00027059342337959914
256,1,-0.0004768117984551807
256,3,-0.0002622283041084556
256,4,-0.00034442469346838755
256,5,-0.000016730238542287042
255,0,-0.0005411868467591983
255,1,-0.0009536235969103614
255,3,-0.0005244566082169112
255,4,-0.00004919053832270256
255,5,-0.000033460477084574085
254,0,-0.0005985606539341065
254,1,-0.001430435395365542
254,2,-0.0003652465664367774
254,3,-0.0005734652961206759
254,5,-0.00005019071562686113
253,0,-0.0007441319142938975
253,1,-0.001311232445751747
253,2,-0.0002815044485158732
253,3,-0.00029468860388887124
253,5,-0.00004600815599128937
252,0,-0.0007441319142938975
252,1,-0.001311232445751747
252,2,-0.0007079436809252549
252,3,-0.00029468860388887124
252,5,-0.00004600815599128937
251,0,-0.0009470769818285969
251,1,-0.0016688412945931323
251,2,-0.0009591700346879673
251,3,-0.000491359831970213
251,5,-0.000058555834898004645
250,0,-0.0010147253376734968
250,1,-0.0017880442442069276
250,2,-0.0010429121526088717
250,3,-0.0005569169079973268
250,5,-0.0000627383945335764
249,0,-0.0007441319142938975
249,1,-0.001311232445751747
249,3,-0.000507908220093562
249,4,-0.00009428944221930252
249,5,-0.00004600815599128937
248,0,-0.0005411868467591983
248,1,-0.0009536235969103614
248,3,-0.0005244566082169112
248,4,0.00016402907788198818
248,5,-0.000033460477084574085
247,0,-0.0008117802701387973
247,1,-0.001430435395365542
247,3,-0.0007866849123253668
247,4,-0.0010332740804051628
247,5,-0.00005019071562686113
246,0,-0.0010147253376734968
246,1,-0.0017880442442069276
246,3,-0.0005569169079973268
246,4,-0.0010783729843017627
246,5,-0.0000627383945335764
245,0,-0.0008794286259836971
245,1,-0.0015496383449793373
245,3,-0.0006390223721477898
245,4,-0.00047972140515818707
245,5,-0.000054373275262432886
244,0,-0.001217670405208196
244,1,-0.002145653093048313
244,2,-0.00022804042534812986
244,4,-0.0004838130395842899
244,5,-0.00007528607344029169
243,0,-0.0008117802701387973
243,1,-0.001430435395365542
243,3,-0.0007866849123253668
243,4,-0.0010332740804051628
243,5,-0.00005019071562686113
242,0,-0.0005411868467591983
242,1,-0.0009536235969103614
242,3,-0.0005244566082169112
242,4,-0.0006888493869367751
242,5,-0.000033460477084574085
241,0,-0.0010147253376734968
241,1,-0.0017880442442069276
241,3,-0.0007701365242020177
241,4,-0.0008651533680970717
241,5,-0.0000627383945335764
240,0,-0.0009470769818285969
240,1,-0.0016688412945931323
240,3,-0.0007045794481749038
240,4,-0.00035260796232059334
240,5,-0.000058555834898004645
239,0,-0.0010823736935183965
239,1,-0.0019072471938207229
239,3,-0.0006224739840244406
239,4,-0.00009838107664540512
239,5,-0.00006692095416914817
238,0,-0.0006764835584489977
238,1,-0.0011920294961379517
238,3,-0.000655570760271139
238,4,-0.00043462250126158726
238,5,-0.0000418255963557176
237,0,-0.0006764835584489977
237,1,-0.0011920294961379517
237,3,-0.0004423511440664481
237,4,-0.00022140288505689636
237,5,-0.0000418255963557176
236,0,-0.0008015057214688059
236,1,-0.0017880442442069276
236,2,-0.00019003368779010833
236,3,-0.0007701365242020177
236,5,-0.0000627383945335764
235,0,-0.0009470769818285969
